,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"tensor(58.4916, grad_fn=<SelectBackward>)","tensor(67.7359, grad_fn=<SelectBackward>)","tensor(80.1556, grad_fn=<SelectBackward>)","tensor(87.6825, grad_fn=<SelectBackward>)","tensor(94.5273, grad_fn=<SelectBackward>)","tensor(99.6657, grad_fn=<SelectBackward>)","tensor(103.8950, grad_fn=<SelectBackward>)","tensor(107.2180, grad_fn=<SelectBackward>)","tensor(109.8826, grad_fn=<SelectBackward>)","tensor(111.9912, grad_fn=<SelectBackward>)","tensor(113.6656, grad_fn=<SelectBackward>)","tensor(114.9891, grad_fn=<SelectBackward>)","tensor(116.0349, grad_fn=<SelectBackward>)","tensor(116.8595, grad_fn=<SelectBackward>)","tensor(117.5090, grad_fn=<SelectBackward>)","tensor(118.0199, grad_fn=<SelectBackward>)","tensor(118.4215, grad_fn=<SelectBackward>)","tensor(118.7369, grad_fn=<SelectBackward>)","tensor(118.9843, grad_fn=<SelectBackward>)","tensor(119.1784, grad_fn=<SelectBackward>)","tensor(119.3305, grad_fn=<SelectBackward>)","tensor(119.4497, grad_fn=<SelectBackward>)","tensor(119.5430, grad_fn=<SelectBackward>)","tensor(119.6161, grad_fn=<SelectBackward>)","tensor(119.6733, grad_fn=<SelectBackward>)","tensor(119.7181, grad_fn=<SelectBackward>)","tensor(119.7531, grad_fn=<SelectBackward>)","tensor(119.7805, grad_fn=<SelectBackward>)","tensor(119.8019, grad_fn=<SelectBackward>)","tensor(119.8187, grad_fn=<SelectBackward>)"
1,"tensor(171.2622, grad_fn=<SelectBackward>)","tensor(194.1197, grad_fn=<SelectBackward>)","tensor(235.6659, grad_fn=<SelectBackward>)","tensor(258.4803, grad_fn=<SelectBackward>)","tensor(280.4744, grad_fn=<SelectBackward>)","tensor(296.5840, grad_fn=<SelectBackward>)","tensor(309.9732, grad_fn=<SelectBackward>)","tensor(320.4283, grad_fn=<SelectBackward>)","tensor(328.8093, grad_fn=<SelectBackward>)","tensor(335.4257, grad_fn=<SelectBackward>)","tensor(340.6713, grad_fn=<SelectBackward>)","tensor(344.8112, grad_fn=<SelectBackward>)","tensor(348.0777, grad_fn=<SelectBackward>)","tensor(350.6502, grad_fn=<SelectBackward>)","tensor(352.6744, grad_fn=<SelectBackward>)","tensor(354.2652, grad_fn=<SelectBackward>)","tensor(355.5146, grad_fn=<SelectBackward>)","tensor(356.4950, grad_fn=<SelectBackward>)","tensor(357.2639, grad_fn=<SelectBackward>)","tensor(357.8666, grad_fn=<SelectBackward>)","tensor(358.3388, grad_fn=<SelectBackward>)","tensor(358.7087, grad_fn=<SelectBackward>)","tensor(358.9983, grad_fn=<SelectBackward>)","tensor(359.2249, grad_fn=<SelectBackward>)","tensor(359.4023, grad_fn=<SelectBackward>)","tensor(359.5411, grad_fn=<SelectBackward>)","tensor(359.6497, grad_fn=<SelectBackward>)","tensor(359.7346, grad_fn=<SelectBackward>)","tensor(359.8011, grad_fn=<SelectBackward>)","tensor(359.8530, grad_fn=<SelectBackward>)"
2,"tensor(49.4499, grad_fn=<SelectBackward>)","tensor(84.2186, grad_fn=<SelectBackward>)","tensor(92.5983, grad_fn=<SelectBackward>)","tensor(105.4986, grad_fn=<SelectBackward>)","tensor(113.0819, grad_fn=<SelectBackward>)","tensor(120.0570, grad_fn=<SelectBackward>)","tensor(125.2205, grad_fn=<SelectBackward>)","tensor(129.4620, grad_fn=<SelectBackward>)","tensor(132.7700, grad_fn=<SelectBackward>)","tensor(135.4099, grad_fn=<SelectBackward>)","tensor(137.4886, grad_fn=<SelectBackward>)","tensor(139.1325, grad_fn=<SelectBackward>)","tensor(140.4271, grad_fn=<SelectBackward>)","tensor(141.4468, grad_fn=<SelectBackward>)","tensor(142.2486, grad_fn=<SelectBackward>)","tensor(142.8788, grad_fn=<SelectBackward>)","tensor(143.3735, grad_fn=<SelectBackward>)","tensor(143.7617, grad_fn=<SelectBackward>)","tensor(144.0661, grad_fn=<SelectBackward>)","tensor(144.3047, grad_fn=<SelectBackward>)","tensor(144.4916, grad_fn=<SelectBackward>)","tensor(144.6380, grad_fn=<SelectBackward>)","tensor(144.7526, grad_fn=<SelectBackward>)","tensor(144.8423, grad_fn=<SelectBackward>)","tensor(144.9125, grad_fn=<SelectBackward>)","tensor(144.9674, grad_fn=<SelectBackward>)","tensor(145.0104, grad_fn=<SelectBackward>)","tensor(145.0440, grad_fn=<SelectBackward>)","tensor(145.0703, grad_fn=<SelectBackward>)","tensor(145.0909, grad_fn=<SelectBackward>)"
3,"tensor(26.8356, grad_fn=<SelectBackward>)","tensor(34.4086, grad_fn=<SelectBackward>)","tensor(41.8253, grad_fn=<SelectBackward>)","tensor(46.9178, grad_fn=<SelectBackward>)","tensor(51.2797, grad_fn=<SelectBackward>)","tensor(54.6115, grad_fn=<SelectBackward>)","tensor(57.3095, grad_fn=<SelectBackward>)","tensor(59.4269, grad_fn=<SelectBackward>)","tensor(61.1103, grad_fn=<SelectBackward>)","tensor(62.4369, grad_fn=<SelectBackward>)","tensor(63.4844, grad_fn=<SelectBackward>)","tensor(64.3092, grad_fn=<SelectBackward>)","tensor(64.9583, grad_fn=<SelectBackward>)","tensor(65.4684, grad_fn=<SelectBackward>)","tensor(65.8691, grad_fn=<SelectBackward>)","tensor(66.1835, grad_fn=<SelectBackward>)","tensor(66.4302, grad_fn=<SelectBackward>)","tensor(66.6235, grad_fn=<SelectBackward>)","tensor(66.7750, grad_fn=<SelectBackward>)","tensor(66.8936, grad_fn=<SelectBackward>)","tensor(66.9865, grad_fn=<SelectBackward>)","tensor(67.0592, grad_fn=<SelectBackward>)","tensor(67.1162, grad_fn=<SelectBackward>)","tensor(67.1607, grad_fn=<SelectBackward>)","tensor(67.1955, grad_fn=<SelectBackward>)","tensor(67.2228, grad_fn=<SelectBackward>)","tensor(67.2441, grad_fn=<SelectBackward>)","tensor(67.2608, grad_fn=<SelectBackward>)","tensor(67.2738, grad_fn=<SelectBackward>)","tensor(67.2840, grad_fn=<SelectBackward>)"
4,"tensor(359.5883, grad_fn=<SelectBackward>)","tensor(412.1888, grad_fn=<SelectBackward>)","tensor(515.8867, grad_fn=<SelectBackward>)","tensor(569.6644, grad_fn=<SelectBackward>)","tensor(620.1794, grad_fn=<SelectBackward>)","tensor(656.2048, grad_fn=<SelectBackward>)","tensor(685.7484, grad_fn=<SelectBackward>)","tensor(708.4369, grad_fn=<SelectBackward>)","tensor(726.4431, grad_fn=<SelectBackward>)","tensor(740.5040, grad_fn=<SelectBackward>)","tensor(751.5668, grad_fn=<SelectBackward>)","tensor(760.2333, grad_fn=<SelectBackward>)","tensor(767.0330, grad_fn=<SelectBackward>)","tensor(772.3607, grad_fn=<SelectBackward>)","tensor(776.5355, grad_fn=<SelectBackward>)","tensor(779.8051, grad_fn=<SelectBackward>)","tensor(782.3654, grad_fn=<SelectBackward>)","tensor(784.3696, grad_fn=<SelectBackward>)","tensor(785.9381, grad_fn=<SelectBackward>)","tensor(787.1656, grad_fn=<SelectBackward>)","tensor(788.1261, grad_fn=<SelectBackward>)","tensor(788.8773, grad_fn=<SelectBackward>)","tensor(789.4651, grad_fn=<SelectBackward>)","tensor(789.9249, grad_fn=<SelectBackward>)","tensor(790.2844, grad_fn=<SelectBackward>)","tensor(790.5656, grad_fn=<SelectBackward>)","tensor(790.7855, grad_fn=<SelectBackward>)","tensor(790.9577, grad_fn=<SelectBackward>)","tensor(791.0922, grad_fn=<SelectBackward>)","tensor(791.1974, grad_fn=<SelectBackward>)"
5,"tensor(16.4931, grad_fn=<SelectBackward>)","tensor(24.5585, grad_fn=<SelectBackward>)","tensor(27.5780, grad_fn=<SelectBackward>)","tensor(31.5991, grad_fn=<SelectBackward>)","tensor(34.2559, grad_fn=<SelectBackward>)","tensor(36.6108, grad_fn=<SelectBackward>)","tensor(38.4001, grad_fn=<SelectBackward>)","tensor(39.8514, grad_fn=<SelectBackward>)","tensor(40.9875, grad_fn=<SelectBackward>)","tensor(41.8887, grad_fn=<SelectBackward>)","tensor(42.5973, grad_fn=<SelectBackward>)","tensor(43.1554, grad_fn=<SelectBackward>)","tensor(43.5940, grad_fn=<SelectBackward>)","tensor(43.9384, grad_fn=<SelectBackward>)","tensor(44.2087, grad_fn=<SelectBackward>)","tensor(44.4207, grad_fn=<SelectBackward>)","tensor(44.5868, grad_fn=<SelectBackward>)","tensor(44.7169, grad_fn=<SelectBackward>)","tensor(44.8188, grad_fn=<SelectBackward>)","tensor(44.8986, grad_fn=<SelectBackward>)","tensor(44.9610, grad_fn=<SelectBackward>)","tensor(45.0099, grad_fn=<SelectBackward>)","tensor(45.0481, grad_fn=<SelectBackward>)","tensor(45.0780, grad_fn=<SelectBackward>)","tensor(45.1013, grad_fn=<SelectBackward>)","tensor(45.1196, grad_fn=<SelectBackward>)","tensor(45.1339, grad_fn=<SelectBackward>)","tensor(45.1451, grad_fn=<SelectBackward>)","tensor(45.1539, grad_fn=<SelectBackward>)","tensor(45.1607, grad_fn=<SelectBackward>)"
6,"tensor(24.5530, grad_fn=<SelectBackward>)","tensor(39.1779, grad_fn=<SelectBackward>)","tensor(47.7669, grad_fn=<SelectBackward>)","tensor(55.9324, grad_fn=<SelectBackward>)","tensor(61.9751, grad_fn=<SelectBackward>)","tensor(66.9438, grad_fn=<SelectBackward>)","tensor(70.7871, grad_fn=<SelectBackward>)","tensor(73.8388, grad_fn=<SelectBackward>)","tensor(76.2229, grad_fn=<SelectBackward>)","tensor(78.0971, grad_fn=<SelectBackward>)","tensor(79.5638, grad_fn=<SelectBackward>)","tensor(80.7131, grad_fn=<SelectBackward>)","tensor(81.6125, grad_fn=<SelectBackward>)","tensor(82.3163, grad_fn=<SelectBackward>)","tensor(82.8669, grad_fn=<SelectBackward>)","tensor(83.2975, grad_fn=<SelectBackward>)","tensor(83.6343, grad_fn=<SelectBackward>)","tensor(83.8976, grad_fn=<SelectBackward>)","tensor(84.1035, grad_fn=<SelectBackward>)","tensor(84.2645, grad_fn=<SelectBackward>)","tensor(84.3903, grad_fn=<SelectBackward>)","tensor(84.4887, grad_fn=<SelectBackward>)","tensor(84.5656, grad_fn=<SelectBackward>)","tensor(84.6258, grad_fn=<SelectBackward>)","tensor(84.6728, grad_fn=<SelectBackward>)","tensor(84.7095, grad_fn=<SelectBackward>)","tensor(84.7383, grad_fn=<SelectBackward>)","tensor(84.7607, grad_fn=<SelectBackward>)","tensor(84.7783, grad_fn=<SelectBackward>)","tensor(84.7920, grad_fn=<SelectBackward>)"
7,"tensor(78.0634, grad_fn=<SelectBackward>)","tensor(125.0935, grad_fn=<SelectBackward>)","tensor(153.3657, grad_fn=<SelectBackward>)","tensor(179.3981, grad_fn=<SelectBackward>)","tensor(197.5687, grad_fn=<SelectBackward>)","tensor(212.4991, grad_fn=<SelectBackward>)","tensor(223.7574, grad_fn=<SelectBackward>)","tensor(232.6673, grad_fn=<SelectBackward>)","tensor(239.5580, grad_fn=<SelectBackward>)","tensor(244.9586, grad_fn=<SelectBackward>)","tensor(249.1668, grad_fn=<SelectBackward>)","tensor(252.4579, grad_fn=<SelectBackward>)","tensor(255.0282, grad_fn=<SelectBackward>)","tensor(257.0375, grad_fn=<SelectBackward>)","tensor(258.6079, grad_fn=<SelectBackward>)","tensor(259.8355, grad_fn=<SelectBackward>)","tensor(260.7953, grad_fn=<SelectBackward>)","tensor(261.5457, grad_fn=<SelectBackward>)","tensor(262.1324, grad_fn=<SelectBackward>)","tensor(262.5911, grad_fn=<SelectBackward>)","tensor(262.9499, grad_fn=<SelectBackward>)","tensor(263.2303, grad_fn=<SelectBackward>)","tensor(263.4497, grad_fn=<SelectBackward>)","tensor(263.6212, grad_fn=<SelectBackward>)","tensor(263.7555, grad_fn=<SelectBackward>)","tensor(263.8604, grad_fn=<SelectBackward>)","tensor(263.9425, grad_fn=<SelectBackward>)","tensor(264.0067, grad_fn=<SelectBackward>)","tensor(264.0569, grad_fn=<SelectBackward>)","tensor(264.0962, grad_fn=<SelectBackward>)"
8,"tensor(61.0115, grad_fn=<SelectBackward>)","tensor(68.1411, grad_fn=<SelectBackward>)","tensor(85.7118, grad_fn=<SelectBackward>)","tensor(94.6109, grad_fn=<SelectBackward>)","tensor(103.3769, grad_fn=<SelectBackward>)","tensor(109.4126, grad_fn=<SelectBackward>)","tensor(114.3915, grad_fn=<SelectBackward>)","tensor(118.1424, grad_fn=<SelectBackward>)","tensor(121.1101, grad_fn=<SelectBackward>)","tensor(123.4048, grad_fn=<SelectBackward>)","tensor(125.2028, grad_fn=<SelectBackward>)","tensor(126.6036, grad_fn=<SelectBackward>)","tensor(127.6989, grad_fn=<SelectBackward>)","tensor(128.5544, grad_fn=<SelectBackward>)","tensor(129.2231, grad_fn=<SelectBackward>)","tensor(129.7457, grad_fn=<SelectBackward>)","tensor(130.1543, grad_fn=<SelectBackward>)","tensor(130.4738, grad_fn=<SelectBackward>)","tensor(130.7235, grad_fn=<SelectBackward>)","tensor(130.9189, grad_fn=<SelectBackward>)","tensor(131.0716, grad_fn=<SelectBackward>)","tensor(131.1911, grad_fn=<SelectBackward>)","tensor(131.2845, grad_fn=<SelectBackward>)","tensor(131.3575, grad_fn=<SelectBackward>)","tensor(131.4147, grad_fn=<SelectBackward>)","tensor(131.4594, grad_fn=<SelectBackward>)","tensor(131.4944, grad_fn=<SelectBackward>)","tensor(131.5217, grad_fn=<SelectBackward>)","tensor(131.5431, grad_fn=<SelectBackward>)","tensor(131.5599, grad_fn=<SelectBackward>)"
9,"tensor(144.2117, grad_fn=<SelectBackward>)","tensor(280.4398, grad_fn=<SelectBackward>)","tensor(349.5480, grad_fn=<SelectBackward>)","tensor(414.1862, grad_fn=<SelectBackward>)","tensor(461.3033, grad_fn=<SelectBackward>)","tensor(499.0644, grad_fn=<SelectBackward>)","tensor(528.2297, grad_fn=<SelectBackward>)","tensor(551.1017, grad_fn=<SelectBackward>)","tensor(568.9342, grad_fn=<SelectBackward>)","tensor(582.8724, grad_fn=<SelectBackward>)","tensor(593.7573, grad_fn=<SelectBackward>)","tensor(602.2615, grad_fn=<SelectBackward>)","tensor(608.9050, grad_fn=<SelectBackward>)","tensor(614.0958, grad_fn=<SelectBackward>)","tensor(618.1516, grad_fn=<SelectBackward>)","tensor(621.3207, grad_fn=<SelectBackward>)","tensor(623.7972, grad_fn=<SelectBackward>)","tensor(625.7326, grad_fn=<SelectBackward>)","tensor(627.2451, grad_fn=<SelectBackward>)","tensor(628.4273, grad_fn=<SelectBackward>)","tensor(629.3514, grad_fn=<SelectBackward>)","tensor(630.0738, grad_fn=<SelectBackward>)","tensor(630.6385, grad_fn=<SelectBackward>)","tensor(631.0799, grad_fn=<SelectBackward>)","tensor(631.4251, grad_fn=<SelectBackward>)","tensor(631.6950, grad_fn=<SelectBackward>)","tensor(631.9062, grad_fn=<SelectBackward>)","tensor(632.0710, grad_fn=<SelectBackward>)","tensor(632.2001, grad_fn=<SelectBackward>)","tensor(632.3011, grad_fn=<SelectBackward>)"
